time,Xm,Xo,delta,comp_time
6.464,0.3173105078629141,1.0,0.5,60.52179837226868
8.064,0.7493461898688476,1.0,0.5,0.0030186176300048
9.664,0.8997907966686207,1.0,0.5,0.0040309429168701
11.264,0.9929018657790144,1.0,0.5,0.002016544342041
12.864,0.3173105078629141,1.0,0.5,52.59381151199341
14.464,0.7575285912016361,1.0,0.5,0.0120480060577392
16.064,0.7686082873202389,1.0,0.5,0.0070192813873291
17.664,0.3173105078629141,1.0,0.5,48.93291759490967
19.264,0.734162757488821,1.0,0.5,0.0120511054992675
20.864,0.784583552921522,1.0,0.5,0.0070013999938964
22.464,0.7348353085767272,1.0,0.5,0.0050146579742431
24.064,0.7492328917789524,1.0,0.5,0.0070292949676513
25.664,0.7812457445721641,1.0,0.5,0.0060195922851562
27.264,0.3173105078629141,1.0,0.5,41.07747530937195
28.864,0.7370440937059386,1.0,0.5,0.0050373077392578
30.464,0.3173105078629141,1.0,0.5,39.83759331703186
32.064,0.3173105078629141,1.0,0.5,66.65602612495422
33.664,0.7361273616574779,0.3363755443363323,0.5,0.0030233860015869
35.264,0.7509355531454889,0.3363755443363323,0.5,0.0030238628387451
36.864,0.930785976043674,0.3363755443363323,0.5,0.009998083114624
38.464,0.9084022967625984,0.3363755443363323,0.5,0.0059988498687744
40.064,0.9203753659925508,0.3363755443363323,0.5,0.0030150413513183
41.664,0.9129633607189576,0.3363755443363323,0.5,0.0030219554901123
43.264,0.90965415418785,0.3363755443363323,0.5,0.0040328502655029
44.864,0.9307640059942992,0.3363755443363323,0.5,0.0079953670501708
46.464,0.9413355546806828,0.3363755443363323,0.5,0.0029778480529785
48.064,0.9397949471249484,0.3363755443363323,0.5,0.0109477043151855
49.664,0.986544057928981,0.3363755443363323,0.5,0.0119833946228027
51.264,0.9937422836259828,0.3363755443363323,0.5,0.0060405731201171
52.864,0.9683756761996724,0.3363755443363323,0.5,0.0110981464385986
54.464,0.95680280315704,0.3363755443363323,0.5,0.0030214786529541
56.064,0.9437537645609132,0.3363755443363323,0.5,0.0030009746551513
57.664,0.951590249309439,0.3363755443363323,0.5,0.0040333271026611
59.264,0.954844357484886,0.3363755443363323,0.5,0.0060272216796875
60.864,0.924494243077622,0.3363755443363323,0.5,0.0030066967010498
62.464,0.9525644487700486,0.3363755443363323,0.5,0.0020229816436767
64.06400000000001,0.98964157196269,0.3363755443363323,0.5,0.0030221939086914
65.664,0.9845135908616108,0.3363755443363323,0.5,0.002002477645874
67.264,0.9906063211678118,0.3363755443363323,0.5,0.0070307254791259
68.864,0.9635974854391108,0.3363755443363323,0.5,0.0020081996917724
70.464,0.9408379798902348,0.3363755443363323,0.5,0.0040292739868164
72.06400000000001,0.9449930479571398,0.3363755443363323,0.5,0.0119988918304443
73.664,0.916877935342114,0.3363755443363323,0.5,0.0029990673065185
75.264,0.9092818054022888,0.3363755443363323,0.5,0.0029909610748291
76.864,0.9103058545091652,0.3363755443363323,0.5,0.002026081085205
78.464,0.9228325738870872,0.3363755443363323,0.5,0.0040016174316406
80.06400000000001,0.920415798885859,0.3363755443363323,0.5,0.0019984245300292
81.664,0.9602639051782512,0.3363755443363323,0.5,0.0030214786529541
83.264,0.9895191998443812,0.3363755443363323,0.5,0.003023624420166
84.864,0.970364126183811,0.3363755443363323,0.5,0.0040647983551025
86.464,0.9562846120313292,0.3363755443363323,0.5,0.0030069351196289
88.06400000000001,0.3173105078629141,0.3363755443363323,0.5,112.99950003623962
89.664,0.75240411320319,0.0,0.5,0.0029997825622558
91.264,0.7968356756236465,0.0,0.5,0.0049998760223388
92.864,0.7296710118906111,0.0,0.5,0.002018928527832
94.464,0.728303423406294,0.0,0.5,0.0020055770874023
96.064,0.8326295044790388,0.0,0.5,0.0020186901092529
97.664,0.960267403831762,0.0,0.5,0.0050342082977294
99.264,0.906625560399254,0.0,0.5,0.0120220184326171
100.864,0.9205587850305432,0.0,0.5,0.0029964447021484
102.464,0.9301763232738908,0.0,0.5,0.0080268383026123
104.064,0.9356441972867584,0.0,0.5,0.0070359706878662
105.664,0.9437883732090866,0.0,0.5,0.0029909610748291
107.264,0.9509359142075656,0.0,0.5,0.0050287246704101
108.864,0.9583152137976024,0.0,0.5,0.0019996166229248
110.464,0.9729677267236688,0.0,0.5,0.0030329227447509
112.064,0.9730390214733726,0.0,0.5,0.0109992027282714
113.664,0.972945916844766,0.0,0.5,0.0119602680206298
115.264,0.9748592844003594,0.0,0.5,0.003026008605957
116.864,0.9797481916803146,0.0,0.5,0.0030117034912109
118.464,0.9845888758970908,0.0,0.5,0.0040247440338134
120.064,0.9877329704358542,0.0,0.5,0.003000259399414
121.664,0.9895493540719638,0.0,0.5,0.0029971599578857
123.264,0.99050577030157,0.0,0.5,0.0030326843261718
124.864,0.9943329926294852,0.0,0.5,0.0080385208129882
126.464,0.9941660421241268,0.0,0.5,0.0099945068359375
128.064,0.9946055750666056,0.0,0.5,0.003009557723999
129.66400000000002,0.9980337422735186,0.0,0.5,0.0030045509338378
131.264,0.9978823811889408,0.0,0.5,0.0020017623901367
132.864,0.9970519937995196,0.0,0.5,0.0130927562713623
134.464,0.99908219722543,0.0,0.5,0.0029983520507812
136.064,0.9984750352459708,0.0,0.5,0.0040013790130615
137.66400000000002,0.9983499681964508,0.0,0.5,0.003030776977539
139.264,0.995345640315914,0.0,0.5,0.0020217895507812
0.064,0.9842721050184896,1.0,0.5,0.0020210742950439
